,ALDER,KOMGRP,TID,INDHOLD
494,30-34 år,Aabenraa,2024,3161
495,30-34 år,Favrskov,2024,3011
496,30-34 år,Hedensted,2024,2814
497,30-34 år,Horsens,2024,7077
498,30-34 år,Norddjurs,2024,1991
499,30-34 år,Odder,2024,1231
500,30-34 år,Randers,2024,6652
501,30-34 år,Samsø,2024,126
502,30-34 år,Silkeborg,2024,7084
503,30-34 år,Skanderborg,2024,3847
504,30-34 år,Syddjurs,2024,2347
505,30-34 år,Aarhus,2024,30685
506,30-34 år,Herning,2024,5648
507,30-34 år,Holstebro,2024,3603
508,30-34 år,Ikast-Brande,2024,2669
509,30-34 år,Lemvig,2024,889
510,30-34 år,Ringkøbing-Skjern,2024,3024
511,30-34 år,Skive,2024,2312
512,30-34 år,Struer,2024,973
513,30-34 år,Viborg,2024,5888
514,30-34 år,Brønderslev,2024,2286
515,30-34 år,Frederikshavn,2024,2900
516,30-34 år,Hjørring,2024,3490
517,30-34 år,Jammerbugt,2024,2076
518,30-34 år,Læsø,2024,52
519,30-34 år,Mariagerfjord,2024,2427
520,30-34 år,Morsø,2024,1023
521,30-34 år,Rebild,2024,2024
522,30-34 år,Thisted,2024,2414
523,30-34 år,Vesthimmerlands,2024,1940
524,30-34 år,Aalborg,2024,16835
525,35-39 år,Hele landet,2024,367658
526,35-39 år,Hovedstadskommuner,2024,120354
527,35-39 år,Storbykommuner,2024,47979
528,35-39 år,Provinsbykommuner,2024,81888
529,35-39 år,Oplandskommuner,2024,56099
530,35-39 år,Landkommuner,2024,61338
531,35-39 år,København,2024,54010
532,35-39 år,Frederiksberg,2024,6759
533,35-39 år,Dragør,2024,787
534,35-39 år,Tårnby,2024,3060
535,35-39 år,Albertslund,2024,1723
536,35-39 år,Ballerup,2024,3673
537,35-39 år,Brøndby,2024,2823
538,35-39 år,Gentofte,2024,3909
539,35-39 år,Gladsaxe,2024,5018
540,35-39 år,Glostrup,2024,1771
541,35-39 år,Herlev,2024,2036
542,35-39 år,Hvidovre,2024,3821
543,35-39 år,Høje-Taastrup,2024,4446
544,35-39 år,Ishøj,2024,1751
545,35-39 år,Lyngby-Taarbæk,2024,3383
546,35-39 år,Rødovre,2024,3314
547,35-39 år,Vallensbæk,2024,1355
548,35-39 år,Allerød,2024,1687
549,35-39 år,Egedal,2024,3000
550,35-39 år,Fredensborg,2024,2568
551,35-39 år,Frederikssund,2024,2478
552,35-39 år,Furesø,2024,2760
553,35-39 år,Gribskov,2024,1988
554,35-39 år,Halsnæs,2024,1615
555,35-39 år,Helsingør,2024,3491
556,35-39 år,Hillerød,2024,3460
557,35-39 år,Hørsholm,2024,1205
558,35-39 år,Rudersdal,2024,3187
559,35-39 år,Bornholm,2024,1899
560,35-39 år,Christiansø,2024,6
561,35-39 år,Greve,2024,3255
562,35-39 år,Køge,2024,3851
563,35-39 år,Lejre,2024,1859
564,35-39 år,Roskilde,2024,5078
565,35-39 år,Solrød,2024,1621
566,35-39 år,Faxe,2024,2238
567,35-39 år,Guldborgsund,2024,3081
568,35-39 år,Holbæk,2024,4380
569,35-39 år,Kalundborg,2024,2575
570,35-39 år,Lolland,2024,1987
571,35-39 år,Næstved,2024,4846
572,35-39 år,Odsherred,2024,1429
573,35-39 år,Ringsted,2024,2374
574,35-39 år,Slagelse,2024,4422
575,35-39 år,Sorø,2024,1832
576,35-39 år,Stevns,2024,1303
577,35-39 år,Vordingborg,2024,2261
