,mpg,milage,maketype,car_id,region,price,make,type,scrapedate,alder,ccm2,doors,aldercat,navn
460,24.2,17000.0,"Toyota Yaris 1,5 T3 Vision 5d",5407586,Syd- og Vestsjælland,179900.0,Toyota,Yaris,2022-11-08 22:29:38.772658,1,1500.0,5d,veteran,Region Sjælland
461,15.4,93000.0,"Toyota Verso 1,8 VVT-i T2 Premium MDS 7prs 5d",5612759,Fyn,234800.0,Toyota,Verso,2022-11-08 22:29:38.772658,5,1800.0,5d,veteran,Region Syddanmark
462,13.9,128000.0,"Volvo XC60 2,0 T4 190 Inscription aut. 5d",5606126,Nordsjælland,469000.0,Volvo,XC60,2022-11-08 22:29:38.772658,3,2000.0,5d,veteran,Region Sjælland
463,23.3,79500.0,"Ford Fiesta 1,0 EcoBoost Titanium 5d",5612750,Nordsjælland,144900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Sjælland
464,24.2,15000.0,"Ford Fiesta 1,0 EcoBoost mHEV Titanium 5d",5568750,Østjylland,189900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Midtjylland
465,23.3,98000.0,"Ford Fiesta 1,0 EcoBoost Titanium 5d",5583554,København,159900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,5,1000.0,5d,veteran,Region Hovedstaden
466,16.1,195000.0,"Ford Kuga 1,5 SCTi 150 Trend 5d",5620127,Syd- og Vestsjælland,139900.0,Ford,Kuga,2022-11-08 22:29:38.772658,7,1500.0,5d,veteran,Region Sjælland
467,23.3,15000.0,"Ford Focus 1,0 EcoBoost mHEV Titanium 5d",5598475,Syd- og Vestsjælland,264700.0,Ford,Focus,2022-11-08 22:29:38.772658,0,1000.0,5d,veteran,Region Sjælland
468,24.2,12500.0,"Ford Fiesta 1,0 EcoBoost mHEV ST-Line X 5d",5576242,Østjylland,214900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Midtjylland
469,16.4,98000.0,"Ford Focus 1,5 SCTi 150 Titanium aut. 5d",5568629,Østjylland,174500.0,Ford,Focus,2022-11-08 22:29:38.772658,6,1500.0,5d,veteran,Region Midtjylland
470,23.3,9000.0,"Ford Fiesta 1,0 EcoBoost mHEV Titanium DCT 5d",5576233,Østjylland,239900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Midtjylland
471,14.9,87000.0,"Toyota Verso 1,8 VVT-i T2 Premium 7prs 5d",5609887,Østjylland,189800.0,Toyota,Verso,2022-11-08 22:29:38.772658,6,1800.0,5d,veteran,Region Midtjylland
472,17.2,31000.0,"Ford Focus 1,0 EcoBoost ST-Line aut. 5d",5568616,Vestjylland,234500.0,Ford,Focus,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Syddanmark
473,23.3,100.0,"Ford Focus 1,0 EcoBoost mHEV Titanium Style 5d",5583452,København,287914.0,Ford,Focus,2022-11-08 22:29:38.772658,0,1000.0,5d,veteran,Region Hovedstaden
474,15.4,68000.0,"Ford C-MAX 1,5 SCTi 150 Titanium aut. 5d",5553435,Syd- og Vestsjælland,194800.0,Ford,C-MAX,2022-11-08 22:29:38.772658,6,1500.0,5d,veteran,Region Sjælland
475,17.9,89000.0,"Ford Focus 1,5 SCTi 150 Titanium stc. 5d",5260127,Syd- og Sønderjylland,159700.0,Ford,Focus,2022-11-08 22:29:38.772658,6,1500.0,5d,veteran,Region Syddanmark
476,23.3,157000.0,"Ford Fiesta 1,0 SCTi 125 Titanium 5d",5568491,Syd- og Vestsjælland,79500.0,Ford,Fiesta,2022-11-08 22:29:38.772658,7,1000.0,5d,veteran,Region Sjælland
477,11.2,200000.0,"Volvo S60 2,4 170 Momentum 4d",5400520,Nordjylland,57800.0,Volvo,S60,2022-11-08 22:29:38.772658,14,2400.0,4d,veteran,Region Nordjylland
478,23.3,104000.0,"Ford Fiesta 1,0 SCTi 125 Sport 3d",5460631,Nordsjælland,89500.0,Ford,Fiesta,2022-11-08 22:29:38.772658,8,1000.0,3d,veteran,Region Sjælland
479,23.3,8000.0,"Ford Focus 1,0 EcoBoost mHEV Titanium X stc. 5d",5501087,København,269900.0,Ford,Focus,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Hovedstaden
480,23.3,110000.0,"Toyota Yaris 1,0 VVT-i T2 5d",5378783,Syd- og Sønderjylland,95900.0,Toyota,Yaris,2022-11-08 22:29:38.772658,6,1000.0,5d,veteran,Region Syddanmark
481,21.6,16000.0,"Ford Puma 1,0 EcoBoost mHEV ST-Line 5d",5507911,Østjylland,274900.0,Ford,Puma,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Midtjylland
482,24.2,12000.0,"Ford Fiesta 1,0 EcoBoost mHEV Titanium 5d",5507910,Østjylland,189900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Midtjylland
483,28.9,14000.0,"Toyota Aygo 1,0 VVT-i x-press 5d",5487150,Nordjylland,109900.0,Toyota,Aygo,2022-11-08 22:29:38.772658,2,1000.0,5d,veteran,Region Nordjylland
484,13.9,229000.0,"Toyota Avensis 1,8 VVT-i Terra stc. 5d",5605782,København,19900.0,Toyota,Avensis,2022-11-08 22:29:38.772658,19,1800.0,5d,veteran,Region Hovedstaden
485,26.3,84000.0,"Toyota Aygo 1,0 VVT-i x-sky II 5d",5490643,København,84900.0,Toyota,Aygo,2022-11-08 22:29:38.772658,5,1000.0,5d,veteran,Region Hovedstaden
486,26.3,98000.0,"Toyota Aygo 1,0 VVT-i x-cite 5d",5592244,København,76900.0,Toyota,Aygo,2022-11-08 22:29:38.772658,5,1000.0,5d,veteran,Region Hovedstaden
